Id;Date;Type;Product;Quantity;Price per unit
1;02/01/2012;RESUPPLY;TStW00UBla;500;98
2;03/01/2012;RESUPPLY;TStW00UWhi;500;98
3;03/01/2012;RESUPPLY;TStW00UGry;500;98
4;04/01/2012;RESUPPLY;TStW00UEco;500;98
5;04/01/2012;RESUPPLY;THaP00UBla;500;87
6;04/01/2012;RESUPPLY;THaP00UWhi;500;87
7;05/01/2012;RESUPPLY;THaP00UGry;500;87
8;06/01/2012;RESUPPLY;THaP00UEco;500;87
9;06/01/2012;RESUPPLY;TThS00UBla;500;95
10;07/01/2012;RESUPPLY;TThS00UWhi;500;95
11;07/01/2012;RESUPPLY;TThS00UGry;500;95
12;08/01/2012;RESUPPLY;TThS00UEco;500;95
13;09/01/2012;RESUPPLY;TIrM00UBla;500;91
14;09/01/2012;RESUPPLY;TIrM00UWhi;500;91
15;09/01/2012;RESUPPLY;TIrM00UGry;500;91
16;09/01/2012;RESUPPLY;TIrM00UEco;500;91
17;10/01/2012;RESUPPLY;TLeZ00UBla;500;105
18;10/01/2012;RESUPPLY;TLeZ00UWhi;500;105
19;10/01/2012;RESUPPLY;TLeZ00UGry;500;105
20;10/01/2012;RESUPPLY;TLeZ00UEco;500;105
21;11/01/2012;RESUPPLY;TQeN00UBla;500;105
22;11/01/2012;RESUPPLY;TQeN00UWhi;500;105
23;12/01/2012;RESUPPLY;TQeN00UGry;500;105
24;12/01/2012;RESUPPLY;TQeN00UEco;500;105
25;13/01/2012;RESUPPLY;TCzK00UBla;500;84
26;13/01/2012;RESUPPLY;TCzK00UWhi;500;84
27;14/01/2012;RESUPPLY;TCzK00UGry;500;84
28;14/01/2012;RESUPPLY;TCzK00UEco;500;84
29;15/01/2012;RESUPPLY;TSeC00UBla;500;86
30;15/01/2012;RESUPPLY;TSeC00UWhi;500;86
31;15/01/2012;RESUPPLY;TSeC00UGry;500;86
32;16/01/2012;RESUPPLY;TSeC00UEco;500;86
33;16/01/2012;RESUPPLY;TPlS00UBla;500;94
34;16/01/2012;RESUPPLY;TPlS00UWhi;500;94
35;16/01/2012;RESUPPLY;TPlS00UGry;500;94
36;17/01/2012;RESUPPLY;TPlS00UEco;500;94
37;17/01/2012;RESUPPLY;QStW00UBla;500;59
38;17/01/2012;RESUPPLY;QStW00UWhi;500;59
39;18/01/2012;RESUPPLY;QStW00UGry;500;59
40;18/01/2012;RESUPPLY;QStW00UEco;500;59
41;18/01/2012;RESUPPLY;QStW00UPin;500;59
42;18/01/2012;RESUPPLY;QStW00UBlu;500;59
43;20/01/2012;RESUPPLY;QStW00URed;500;59
44;20/01/2012;RESUPPLY;QStW00UGrn;500;59
45;20/01/2012;RESUPPLY;QHaP00UBla;500;48
46;21/01/2012;RESUPPLY;QHaP00UWhi;500;48
47;22/01/2012;RESUPPLY;QHaP00UGry;500;48
48;23/01/2012;RESUPPLY;QHaP00UEco;500;48
49;23/01/2012;RESUPPLY;QHaP00UPin;500;48
50;25/01/2012;RESUPPLY;QHaP00UBlu;500;48
51;26/01/2012;RESUPPLY;QHaP00URed;500;48
52;26/01/2012;RESUPPLY;QHaP00UGrn;500;48
53;27/01/2012;RESUPPLY;QThS00UBla;500;56
54;27/01/2012;RESUPPLY;QThS00UWhi;500;56
55;27/01/2012;RESUPPLY;QThS00UGry;500;56
56;28/01/2012;RESUPPLY;QThS00UEco;500;56
57;28/01/2012;RESUPPLY;QThS00UPin;500;56
58;28/01/2012;RESUPPLY;QThS00UBlu;500;56
59;28/01/2012;RESUPPLY;QThS00URed;500;56
60;28/01/2012;RESUPPLY;QThS00UGrn;500;56
61;29/01/2012;RESUPPLY;QIrM00UBla;500;52
62;29/01/2012;RESUPPLY;QIrM00UWhi;500;52
63;29/01/2012;RESUPPLY;QIrM00UGry;500;52
64;30/01/2012;RESUPPLY;QIrM00UEco;500;52
65;31/01/2012;RESUPPLY;QIrM00UPin;500;52
66;31/01/2012;RESUPPLY;QIrM00UBlu;500;52
67;01/02/2012;RESUPPLY;QIrM00URed;500;46
68;01/02/2012;RESUPPLY;QIrM00UGrn;500;46
69;02/02/2012;RESUPPLY;QLeZ00UBla;500;57
70;02/02/2012;RESUPPLY;QLeZ00UWhi;500;57
71;02/02/2012;RESUPPLY;QLeZ00UGry;500;57
72;02/02/2012;RESUPPLY;QLeZ00UEco;500;57
73;03/02/2012;RESUPPLY;QLeZ00UPin;500;57
74;04/02/2012;RESUPPLY;QLeZ00UBlu;500;57
75;04/02/2012;RESUPPLY;QLeZ00URed;500;57
76;04/02/2012;RESUPPLY;QLeZ00UGrn;500;57
77;04/02/2012;RESUPPLY;QQeN00UBla;500;52
78;05/02/2012;RESUPPLY;QQeN00UWhi;500;52
79;05/02/2012;RESUPPLY;QQeN00UGry;500;52
80;06/02/2012;RESUPPLY;QQeN00UEco;500;52
81;06/02/2012;RESUPPLY;QQeN00UPin;500;52
82;08/02/2012;RESUPPLY;QQeN00UBlu;500;52
83;08/02/2012;RESUPPLY;QQeN00URed;500;52
84;09/02/2012;RESUPPLY;QQeN00UGrn;500;52
85;09/02/2012;RESUPPLY;QCzK00UBla;500;33
86;10/02/2012;RESUPPLY;QCzK00UWhi;500;33
87;12/02/2012;RESUPPLY;QCzK00UGry;500;33
88;12/02/2012;RESUPPLY;QCzK00UEco;500;33
89;12/02/2012;RESUPPLY;QCzK00UPin;500;33
90;12/02/2012;RESUPPLY;QCzK00UBlu;500;33
91;14/02/2012;RESUPPLY;QCzK00URed;500;33
92;15/02/2012;RESUPPLY;QCzK00UGrn;500;33
93;16/02/2012;RESUPPLY;QSeC00UBla;500;46
94;16/02/2012;RESUPPLY;QSeC00UWhi;500;46
95;16/02/2012;RESUPPLY;QSeC00UGry;500;46
96;16/02/2012;RESUPPLY;QSeC00UEco;500;46
97;16/02/2012;RESUPPLY;QSeC00UPin;500;46
98;17/02/2012;RESUPPLY;QSeC00UBlu;500;46
99;17/02/2012;RESUPPLY;QSeC00URed;500;46
100;17/02/2012;RESUPPLY;QSeC00UGrn;500;46
101;17/02/2012;RESUPPLY;QPlS00UBla;500;47
102;18/02/2012;RESUPPLY;QPlS00UWhi;500;47
103;18/02/2012;RESUPPLY;QPlS00UGry;500;47
104;18/02/2012;RESUPPLY;QPlS00UEco;500;47
105;18/02/2012;RESUPPLY;QPlS00UPin;500;47
106;19/02/2012;RESUPPLY;QPlS00UBlu;500;47
107;19/02/2012;RESUPPLY;QPlS00URed;500;47
108;19/02/2012;RESUPPLY;QPlS00UGrn;500;47
109;19/02/2012;RESUPPLY;CStW00UWhi;500;85
110;20/02/2012;RESUPPLY;CStW00UGry;500;85
111;20/02/2012;RESUPPLY;CStW00UEco;500;85
112;20/02/2012;RESUPPLY;CStW00UPin;500;85
113;21/02/2012;RESUPPLY;CStW00UBlu;500;85
114;21/02/2012;RESUPPLY;CStW00ULBl;500;85
115;21/02/2012;RESUPPLY;CStW00URed;500;85
116;22/02/2012;RESUPPLY;CStW00UGrn;500;85
117;22/02/2012;RESUPPLY;CHaP00UBla;500;79
118;22/02/2012;RESUPPLY;CHaP00UWhi;500;79
119;22/02/2012;RESUPPLY;CHaP00UGry;500;79
120;22/02/2012;RESUPPLY;CHaP00UEco;500;79
121;23/02/2012;RESUPPLY;CHaP00UPin;500;79
122;23/02/2012;RESUPPLY;CHaP00UBlu;500;79
123;23/02/2012;RESUPPLY;CHaP00ULBl;500;79
124;24/02/2012;RESUPPLY;CHaP00URed;500;79
125;25/02/2012;RESUPPLY;CHaP00UGrn;500;79
126;26/02/2012;RESUPPLY;CThS00UBla;500;71
127;26/02/2012;RESUPPLY;CThS00UWhi;500;71
128;26/02/2012;RESUPPLY;CThS00UGry;500;71
129;27/02/2012;RESUPPLY;CThS00UEco;500;71
130;27/02/2012;RESUPPLY;CThS00UPin;500;71
131;28/02/2012;RESUPPLY;CThS00UBlu;500;71
132;29/02/2012;RESUPPLY;CThS00ULBl;500;71
133;29/02/2012;RESUPPLY;CThS00URed;500;71
134;01/03/2012;RESUPPLY;CThS00UGrn;500;65
135;01/03/2012;RESUPPLY;CIrM00UBla;500;58
136;01/03/2012;RESUPPLY;CIrM00UWhi;500;58
137;01/03/2012;RESUPPLY;CIrM00UGry;500;58
138;02/03/2012;RESUPPLY;CIrM00UEco;500;58
139;03/03/2012;RESUPPLY;CIrM00UPin;500;58
140;03/03/2012;RESUPPLY;CIrM00UBlu;500;58
141;03/03/2012;RESUPPLY;CIrM00ULBl;500;58
142;04/03/2012;RESUPPLY;CIrM00URed;500;58
143;04/03/2012;RESUPPLY;CIrM00UGrn;500;58
144;04/03/2012;RESUPPLY;CLeZ00UBla;500;75
145;04/03/2012;RESUPPLY;CLeZ00UWhi;500;75
146;05/03/2012;RESUPPLY;CLeZ00UGry;500;75
147;05/03/2012;RESUPPLY;CLeZ00UEco;500;75
148;05/03/2012;RESUPPLY;CLeZ00UPin;500;75
149;05/03/2012;RESUPPLY;CLeZ00UBlu;500;75
