Id;Date;Type;Product;Quantity;Price per unit
1;02.01.2012;RESUPPLY;TStW00UBla;40;60
2;02.01.2012;RESUPPLY;TStW00UWhi;40;60
3;02.01.2012;RESUPPLY;TStW00UGry;40;60
4;02.01.2012;RESUPPLY;TStW00UEco;40;60
5;02.01.2012;RESUPPLY;THaP00UBla;40;60
6;02.01.2012;RESUPPLY;THaP00UWhi;40;60
7;02.01.2012;RESUPPLY;THaP00UGry;40;60
8;02.01.2012;RESUPPLY;THaP00UEco;40;60
9;02.01.2012;RESUPPLY;TPlS00UBla;40;60
10;02.01.2012;RESUPPLY;TPlS00UWhi;40;60
11;02.01.2012;RESUPPLY;TPlS00UGry;40;60
12;02.01.2012;RESUPPLY;TPlS00UEco;40;60
13;04.01.2012;SALE;TStW00UWhi;2;90
14;05.01.2012;SALE;TStW00UGry;1;90
15;06.01.2012;SALE;TStW00UEco;2;90
16;07.01.2012;SALE;THaP00UBla;1;90
17;09.01.2012;SALE;THaP00UGry;1;90
18;23.01.2012;SALE;TPlS00UBla;1;90
19;24.01.2012;SALE;TPlS00UWhi;2;90
20;25.01.2012;SALE;TPlS00UGry;1;90
21;26.01.2012;SALE;TPlS00UEco;2;90
22;12.02.2012;SALE;TPlS00UGry;3;90
23;13.02.2012;SALE;TPlS00UEco;2;90
24;01.03.2012;SALE;THaP00UWhi;1;90
25;01.03.2012;SALE;TStW00UBla;1;90
26;01.03.2012;RESUPPLY;QStW00UBla;50;30
27;01.03.2012;RESUPPLY;QStW00UWhi;50;30
28;01.03.2012;RESUPPLY;QStW00UGry;50;30
29;01.03.2012;RESUPPLY;QStW00UEco;50;30
30;01.03.2012;RESUPPLY;QHaP00UBla;50;30
31;01.03.2012;RESUPPLY;QHaP00UWhi;50;30
32;01.03.2012;RESUPPLY;QHaP00UGry;50;30
33;01.03.2012;RESUPPLY;QHaP00UEco;50;30
34;01.03.2012;RESUPPLY;QThS00UBla;50;30
35;01.03.2012;RESUPPLY;QThS00UWhi;50;30
36;01.03.2012;RESUPPLY;QThS00UGry;50;30
37;01.03.2012;RESUPPLY;QThS00UEco;50;30
38;01.03.2012;RESUPPLY;QIrM00UBla;50;30
39;01.03.2012;RESUPPLY;QIrM00UWhi;50;30
40;01.03.2012;RESUPPLY;QIrM00UGry;50;30
41;01.03.2012;RESUPPLY;QIrM00UEco;50;30
42;01.03.2012;RESUPPLY;QLeZ00UBla;50;30
43;01.03.2012;RESUPPLY;QLeZ00UWhi;50;30
44;01.03.2012;RESUPPLY;QLeZ00UGry;50;30
45;01.03.2012;RESUPPLY;QLeZ00UEco;50;30
46;01.03.2012;RESUPPLY;QQeN00UBla;50;30
47;01.03.2012;RESUPPLY;QQeN00UWhi;50;30
48;01.03.2012;RESUPPLY;QQeN00UGry;50;30
49;01.03.2012;RESUPPLY;QQeN00UEco;50;30
50;01.03.2012;RESUPPLY;QCzK00UBla;50;20
51;01.03.2012;RESUPPLY;QCzK00UWhi;50;20
52;01.03.2012;RESUPPLY;QCzK00UGry;50;20
53;01.03.2012;RESUPPLY;QSeC00UBla;50;20
54;01.03.2012;RESUPPLY;QSeC00UWhi;50;20
55;01.03.2012;RESUPPLY;QSeC00UGry;50;20
56;01.03.2012;RESUPPLY;QSeC00UPin;50;20
57;01.03.2012;RESUPPLY;QPlS00UBla;50;20
58;01.03.2012;RESUPPLY;QPlS00UWhi;50;20
59;01.03.2012;RESUPPLY;QPlS00UGry;50;20
60;01.03.2012;RESUPPLY;QPlS00UBlu;50;20
61;02.03.2012;SALE;THaP00UWhi;1;90
62;03.03.2012;SALE;THaP00UWhi;1;90
63;07.03.2012;SALE;TStW00UBla;1;90
64;11.03.2012;SALE;TPlS00UBla;4;90
65;12.03.2012;SALE;TPlS00UWhi;2;90
66;13.03.2012;SALE;TStW00UGry;1;90
67;13.03.2012;SALE;TStW00UBla;1;90
68;15.03.2012;SALE;THaP00UWhi;2;90
69;15.03.2012;SALE;TStW00UBla;1;90
70;16.03.2012;SALE;THaP00UGry;2;90
71;17.03.2012;SALE;THaP00UEco;2;90
72;18.03.2012;SALE;TStW00UGry;1;90
73;19.03.2012;SALE;TStW00UBla;1;90
74;22.03.2012;SALE;TPlS00UBla;1;90
75;25.03.2012;SALE;TStW00UBla;1;90
76;26.03.2012;SALE;THaP00UWhi;1;90
77;26.03.2012;SALE;TStW00UGry;1;90
78;27.03.2012;SALE;THaP00UGry;1;90
79;28.03.2012;SALE;THaP00UEco;1;90
80;28.03.2012;SALE;TStW00UGry;1;90
81;29.03.2012;SALE;TPlS00UBla;2;90
82;01.04.2012;SALE;THaP00UGry;1;90
83;01.04.2012;SALE;THaP00UWhi;1;90
84;01.04.2012;SALE;TStW00UBla;1;90
85;01.04.2012;RESUPPLY;CStW00UGry;100;20
86;01.04.2012;RESUPPLY;CStW00UGrn;100;20
87;01.04.2012;RESUPPLY;CHaP00UBla;100;20
88;01.04.2012;RESUPPLY;CHaP00UWhi;100;20
89;01.04.2012;RESUPPLY;CHaP00UGry;100;20
90;01.04.2012;RESUPPLY;CThS00UBla;100;20
91;01.04.2012;RESUPPLY;CThS00UWhi;100;20
92;01.04.2012;RESUPPLY;CThS00URed;100;20
93;01.04.2012;RESUPPLY;CIrM00UBla;100;20
94;01.04.2012;RESUPPLY;CIrM00UWhi;100;20
95;01.04.2012;RESUPPLY;CIrM00UGry;100;20
96;01.04.2012;RESUPPLY;CIrM00UEco;100;20
97;01.04.2012;RESUPPLY;CIrM00UBlu;100;20
98;01.04.2012;RESUPPLY;CQeN00UBla;100;20
99;01.04.2012;RESUPPLY;CQeN00UGry;100;20
100;01.04.2012;RESUPPLY;CQeN00UPin;100;20
101;01.04.2012;RESUPPLY;CQeN00UBlu;100;20
102;01.04.2012;RESUPPLY;CSeC00UBla;100;20
103;01.04.2012;RESUPPLY;CSeC00UGry;100;20
104;01.04.2012;RESUPPLY;CSeC00UPin;100;20
105;01.04.2012;RESUPPLY;CSeC00UBlu;100;20
106;01.04.2012;RESUPPLY;CSeC00URed;100;20
107;01.04.2012;RESUPPLY;CPlS00UBla;100;20
108;01.04.2012;RESUPPLY;CPlS00UWhi;100;20
